Complaint ID,Product,Issue,Company,Company response,Timely response?,Consumer disputed?,Day received,Response time
1237053,Credit reporting,Incorrect information on credit report,Experian,In progress,1,0,43,0
1237056,Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase,In progress,1,0,43,0
1237057,Debt collection,Cont'd attempts collect debt not owed,Professional Recovery Management,Closed with explanation,1,1,43,0
1237059,Mortgage,"Loan servicing, payments, escrow account",Residential Credit Solutions,Closed with explanation,1,0,43,0
1237062,Debt collection,Cont'd attempts collect debt not owed,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,1,0,43,7
1237071,Debt collection,Cont'd attempts collect debt not owed,"LTD Financial Services, L.P.",Closed with explanation,1,0,42,7
1237073,Debt collection,Cont'd attempts collect debt not owed,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,1,1,43,8
1237089,Debt collection,Cont'd attempts collect debt not owed,"Weltman, Weinberg & Reis",Closed with explanation,0,0,43,0
1237090,Debt collection,Cont'd attempts collect debt not owed,"Pressler & Pressler, LLP",Closed with explanation,1,0,43,0
1237094,Credit reporting,Incorrect information on credit report,Equifax,Closed with explanation,1,0,43,0
1237095,Credit reporting,Incorrect information on credit report,TransUnion,Closed with explanation,1,0,43,0
1237101,Mortgage,"Loan modification,collection,foreclosure",Stonegate Mortgage Corporation,Closed with explanation,1,0,43,1
1237102,Debt collection,Cont'd attempts collect debt not owed,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,1,0,43,1
1237104,Credit reporting,Incorrect information on credit report,Experian,Closed with non-monetary relief,1,0,43,0
1237105,Debt collection,Disclosure verification of debt,Resurgent Capital Services L.P.,Closed with explanation,1,1,43,0
1237106,Mortgage,"Loan modification,collection,foreclosure",Bank of America,Closed with non-monetary relief,1,0,43,0
1237107,Credit card,Identity theft / Fraud / Embezzlement,Wells Fargo,Closed with explanation,1,0,43,7
1237109,Bank account or service,"Account opening, closing, or management",JPMorgan Chase,Closed with explanation,1,0,43,1
1237110,Credit reporting,Incorrect information on credit report,Equifax,Closed with explanation,1,1,43,0
1237111,Credit reporting,Incorrect information on credit report,Experian,Closed with explanation,1,0,43,0
1237112,Credit reporting,Incorrect information on credit report,TransUnion,Closed with explanation,1,0,43,0
1237114,Credit reporting,Incorrect information on credit report,Experian,Closed with explanation,1,0,43,0
1237115,Mortgage,"Loan modification,collection,foreclosure",TD Bank,Closed with non-monetary relief,1,0,42,8
1237116,Credit card,Identity theft / Fraud / Embezzlement,"Continental Finance Company, LLC",In progress,1,0,43,7
1237117,Debt collection,Cont'd attempts collect debt not owed,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,1,1,43,0
1237118,Debt collection,Cont'd attempts collect debt not owed,"CMRE Financial Services, Inc.",Closed with explanation,1,1,43,0
1237120,Credit reporting,Unable to get credit report/credit score,Experian,Closed with non-monetary relief,1,0,43,0
